Date,Time,Elapsed_Seconds,PM2.5(ug/m3),CO(relative),CO2(ppm),TVOC(ppb)
2026/03/22,09:57:16,0,702.69,49,0,0
2026/03/22,09:57:19,3,690.23,51,0,0
2026/03/22,09:57:22,6,685.25,56,400,0
2026/03/22,09:57:25,9,688.57,60,400,0
2026/03/22,09:57:28,12,690.23,66,400,0
2026/03/22,09:57:31,15,688.57,68,400,0
2026/03/22,09:57:34,18,686.08,69,407,1
2026/03/22,09:57:37,21,687.74,69,447,7
2026/03/22,09:57:40,24,688.57,65,400,0
2026/03/22,09:57:43,27,688.57,66,518,17
2026/03/22,09:57:46,30,690.23,67,405,0
2026/03/22,09:57:49,33,687.74,73,400,0
2026/03/22,09:57:52,36,686.91,67,417,2
2026/03/22,09:57:55,39,687.74,70,421,3
2026/03/22,09:57:58,42,686.91,72,641,36
2026/03/22,09:58:01,45,683.59,69,566,25
2026/03/22,09:58:04,48,680.27,82,466,10
2026/03/22,09:58:07,51,683.59,73,432,4
2026/03/22,09:58:10,54,686.08,80,413,1
2026/03/22,09:58:13,57,682.76,80,407,1
